vehicule_ID,frame_ID,tot_frames,time_since_epoch_ms,local_x,local_y,global_x,global_y,veh_length,veh_width,veh_class,veh_v,veh_acc,lane_id,prec_veh,follow_veh,spacing,headway
1,138,421,1118848770800,52.648,76.416,6451114.916,1873316.119,15.0,6.4,2,25.00,0.00,5,0,0,0.00,0.00
1,139,421,1118848770900,52.635,78.915,6451116.596,1873314.268,15.0,6.4,2,25.00,0.00,5,0,0,0.00,0.00
1,140,421,1118848771000,52.622,81.416,6451118.277,1873312.417,15.0,6.4,2,25.00,0.00,5,0,0,0.00,0.00
1,141,421,1118848771100,52.609,83.916,6451119.957,1873310.566,15.0,6.4,2,25.00,0.00,5,0,0,0.00,0.00
1,142,421,1118848771200,52.596,86.415,6451121.638,1873308.715,15.0,6.4,2,25.00,0.00,5,0,0,0.00,0.00
1,143,421,1118848771300,52.583,88.915,6451123.318,1873306.864,15.0,6.4,2,25.00,0.00,5,0,0,0.00,0.00
1,144,421,1118848771400,52.570,91.415,6451124.998,1873305.013,15.0,6.4,2,25.00,0.00,5,0,0,0.00,0.00
1,145,421,1118848771500,52.557,93.915,6451126.679,1873303.162,15.0,6.4,2,25.00,0.00,5,0,0,0.00,0.00
1,146,421,1118848771600,52.544,96.415,6451128.359,1873301.311,15.0,6.4,2,25.00,0.00,5,0,0,0.00,0.00
1,147,421,1118848771700,52.532,98.915,6451130.039,1873299.460,15.0,6.4,2,25.00,0.00,5,0,0,0.00,0.00
1,148,421,1118848771800,52.518,101.415,6451131.720,1873297.609,15.0,6.4,2,25.00,0.00,5,0,0,0.00,0.00
1,149,421,1118848771900,52.506,103.915,6451133.400,1873295.758,15.0,6.4,2,25.00,0.00,5,0,0,0.00,0.00
1,150,421,1118848772000,52.493,106.415,6451135.080,1873293.907,15.0,6.4,2,25.00,0.00,5,0,0,0.00,0.00
1,151,421,1118848772100,52.480,108.915,6451136.761,1873292.056,15.0,6.4,2,25.00,0.00,5,0,0,0.00,0.00
1,152,421,1118848772200,52.467,111.415,6451138.441,1873290.205,15.0,6.4,2,25.00,0.00,5,0,0,0.00,0.00
1,153,421,1118848772300,52.455,113.917,6451140.122,1873288.353,15.0,6.4,2,24.98,-0.27,5,0,0,0.00,0.00
1,154,421,1118848772400,52.442,116.413,6451141.802,1873286.502,15.0,6.4,2,24.97,-0.14,5,0,0,0.00,0.00
1,155,421,1118848772500,52.429,118.898,6451143.482,1873284.651,15.0,6.4,2,25.07,1.64,5,0,0,0.00,0.00
1,156,421,1118848772600,52.416,121.448,6451145.143,1873282.822,15.0,6.4,2,24.90,-3.33,5,0,0,0.00,0.00
